Usecase Specific,,,,,
Usecase Name,Play Piano,,,,
System Id,System-deemo,,,,
UC Id,play,,,,
desc,UC-1's desc,,,,
Use Actor,Deemo,,,,
Related Rq,"RQ-19, RQ-33, RQ-39, RQ-45",,,,
Pre-Condition,UC-1's pre condition.,,,,
Post-Condition,UC-1's post Condition,,,,
,,,,,
Scenario,,,,,
Sequence Name,context,Pre-Condition,Post-Condition,Host,Client
flow1(),1. Actor-1 use flow1() on Sys11,,,,Actor-1
flow2(),2. Sys11 do Flow2.,,,,
flow3(),3. Sys11 do Flow3.,,,,
flow31(),3.1. Sys11 do Flow3.1,aa,,,
flow32(),3.2. E-sd,,,,
flow33(),3.3. Sys11 do Flow3.3,,,,
flow4(),4. Sys11 do Flow4.,,,,
flow5(),5. Sys11 do Flow5.,,B,,
flow51(),5.1. Sys11 do Flow5.1,C,,,
flow52(),5.2. Sys11 do Flow5.2,,,,
flow521(),5.2.1. Sys11 do Flow5.2.1,D,EF,,
flow6(),6. Sys11 do Flow6.,,,,
flow7(),7. Sys11 do Flow7.,,,,
